recommendation,class,level,table_number,table_name,guideline,year,page
"Heart rate control strategy, preferably with beta-blockers, should be considered in patients who develop well-tolerated AF while they are receiving active cancer treatmentg.",IIa,C,31,Recommendations for the management of atrial ﬁbrillation in patients receiving anticancer treatment,Cardio Oncology,2022,69
How to manage QTc prolongation in patients with cancer Discontinuation of QTc-prolonging cancer therapy is recommended in patients who develop TdP or sustained ventricular tachyarrhythmias during treatment.,I,C,32,Recommendations for the management of long corrected QT interval and ventricular arrhythmias in patients receiving anticancer treatment,Cardio Oncology,2022,72
Temporary interruption of QTc-prolonging cancer therapy is recommended in patients who develop asymptomatic QTcF ≥500 ms and an ECG should be repeated every 24 h until resolution of the QTcF prolongation.,I,C,32,Recommendations for the management of long corrected QT interval and ventricular arrhythmias in patients receiving anticancer treatment,Cardio Oncology,2022,72
Immediate withdrawal of any offending drug and correction of electrolyte abnormalities and other risk factorsc is recommended in patients with cancer who develop QTcF ≥500 ms.,I,C,32,Recommendations for the management of long corrected QT interval and ventricular arrhythmias in patients receiving anticancer treatment,Cardio Oncology,2022,72
Weekly ECG monitoring is recommended in asymptomatic patients with cancer with QTcF 480–500 ms who are treated with a QTc-prolonging cancer therapy.,I,C,32,Recommendations for the management of long corrected QT interval and ventricular arrhythmias in patients receiving anticancer treatment,Cardio Oncology,2022,72
A 12-lead ECG is recommended after any dose increase of QTc-prolonging cancer therapy.,I,C,32,Recommendations for the management of long corrected QT interval and ventricular arrhythmias in patients receiving anticancer treatment,Cardio Oncology,2022,72
"In patients who experienced signiﬁcant QTcF prolongation, restarting the culprit QTc-prolonging cancer treatment may be considered, ideally at a reduced dose according to each drug recommendation.",IIb,C,32,Recommendations for the management of long corrected QT interval and ventricular arrhythmias in patients receiving anticancer treatment,Cardio Oncology,2022,72
Weekly ECG monitoring during the ﬁrst 4–6 weeks and then monthly thereafter is recommended in patients with cancer after restarting QTc-prolonging cancer therapy.,I,C,32,Recommendations for the management of long corrected QT interval and ventricular arrhythmias in patients receiving anticancer treatment,Cardio Oncology,2022,72
General Effective treatment of cancer therapy-induced arterial hypertension to prevent cancer treatment interruption and CV complications is recommended.,I,C,33,Recommendations for the management of arterial hypertension in patients receiving anticancer treatment,Cardio Oncology,2022,74
"A BP target ,140 mmHg systolic and ,90 mmHg diastolic is recommended during cancer therapy.",I,C,33,Recommendations for the management of arterial hypertension in patients receiving anticancer treatment,Cardio Oncology,2022,74
"A BP target ,130 mmHg systolic and ,80 mmHg diastolic may be considered during cancer therapy provided that the treatment is well tolerated.",IIb,C,33,Recommendations for the management of arterial hypertension in patients receiving anticancer treatment,Cardio Oncology,2022,74
"In selected asymptomatic patients with metastatic cancer, a systolic BP 140–160 mmHg and diastolic BP 90–100 mmHg treatment threshold may be considered provided there is ongoing BP monitoring.",IIb,C,33,Recommendations for the management of arterial hypertension in patients receiving anticancer treatment,Cardio Oncology,2022,74
"The competing cancer and CV risk evaluation is recommended if the systolic BP is ≥180 mmHg or diastolic BP ≥110 mmHg, and any cancer therapy associated with hypertension should be deferred or temporarily withheld until the BP is controlled to values ,160 mmHg (systolic) and ,100 mmHg (diastolic).",I,C,33,Recommendations for the management of arterial hypertension in patients receiving anticancer treatment,Cardio Oncology,2022,74
Dihydropyridine CCB are recommended as second-line antihypertensive drugs for patients with cancer with uncontrolled BP.,I,C,33,Recommendations for the management of arterial hypertension in patients receiving anticancer treatment,Cardio Oncology,2022,74
Combination therapy with ACE-I or ARB and dihydropyridine CCB is recommended in patients with cancer with systolic BP ≥160 mmHg and diastolic BP ≥100 mmHg.,I,C,33,Recommendations for the management of arterial hypertension in patients receiving anticancer treatment,Cardio Oncology,2022,74
Diltiazem and verapamil are not recommended to treat arterial hypertension in patients with cancer due to their drug–drug interactions.d,III,C,33,Recommendations for the management of arterial hypertension in patients receiving anticancer treatment,Cardio Oncology,2022,74
"Apixaban, edoxaban, or rivaroxabanc are recommended for the treatment of symptomatic or incidental VTE in patients with cancer without contraindications.d,578–",I,A,34,Recommendations for the management of venous thromboembolism in patients receiving anticancer treatment,Cardio Oncology,2022,77
"LMWH are recommended for the treatment of symptomatic or incidental VTE in patients with cancer with platelet count .50 000/µL.298,299,578–",I,A,34,Recommendations for the management of venous thromboembolism in patients receiving anticancer treatment,Cardio Oncology,2022,77
"In patients with cancer with platelet counts of 25 000–50 000/µL, anticoagulation with half-dose LMWH may be considered after a multidisciplinary discussion.",IIb,C,34,Recommendations for the management of venous thromboembolism in patients receiving anticancer treatment,Cardio Oncology,2022,77
Prolongation of anticoagulation therapy beyond 6 months should be considered in selected patients with active cancere including metastatic disease.,IIa,A,34,Recommendations for the management of venous thromboembolism in patients receiving anticancer treatment,Cardio Oncology,2022,77
Catheter-associated VTE Duration of anticoagulation in patients with cancer with a catheter-associated VTE is recommended for a minimum of 3 months and continuing longer if the catheter remains in situ.,I,C,34,Recommendations for the management of venous thromboembolism in patients receiving anticancer treatment,Cardio Oncology,2022,77
Recommendation Extended prophylaxis with LMWH for 4 weeks post-operatively is recommended for patients with cancer undergoing major open or laparoscopic abdominal or pelvic surgery with low bleeding risk and high VTE risk.c,I,B,35,Recommendations for venous thromboembolism prophylaxis during anticancer treatment,Cardio Oncology,2022,78
Prophylactic LMWH for the primary prevention of VTE is indicated in hospitalized patients with cancer or those with prolonged bedrest or reduced mobility in the absence of bleeding or other contraindications.,I,B,35,Recommendations for venous thromboembolism prophylaxis during anticancer treatment,Cardio Oncology,2022,78
"For ambulatory patients with cancer at high risk of thrombosis receiving systemic therapy,d primary thromboprophylaxis with a NOAC (apixaban or rivaroxaban) or LMWH may be considered, provided there are no signiﬁcant contraindications.e",IIb,B,35,Recommendations for venous thromboembolism prophylaxis during anticancer treatment,Cardio Oncology,2022,78
"A discussion with the patient about the relative beneﬁts and harms, cancer prognosis, drug cost, and duration of treatment is recommended prior to prophylactic anticoagulation for the primary prevention of VTE.",I,C,35,Recommendations for venous thromboembolism prophylaxis during anticancer treatment,Cardio Oncology,2022,78
"Recommendation In patients who develop new symptomatic PAD, a multidisciplinary approach regarding the decision to continue vs. interrupt culprit cancer therapyc is recommended.",I,C,36,Recommendation for management of peripheral artery disease during anticancer treatment,Cardio Oncology,2022,79
Right-heart catheterization and discontinuation of dasatinib is recommended in patients who develop symptomatic or asymptomatic increase in peak TRV .3.4 m/s.,I,C,37,Recommendations for the management of pulmonary hypertension during anticancer treatment,Cardio Oncology,2022,80
Dasatinib dose reduction and close monitoring of peak TRV with echocardiography should be considered in patients who develop new asymptomatic peak TRV ranging from 2.9 to 3.4 m/s.,IIa,C,37,Recommendations for the management of pulmonary hypertension during anticancer treatment,Cardio Oncology,2022,80
"In patients with conﬁrmed dasatinib-induced PAHc or new asymptomatic peak TRV .3.4 m/s, an alternative BCR-ABL inhibitor is recommended after peak TRV recovery to ,2.8 m/s.",I,C,37,Recommendations for the management of pulmonary hypertension during anticancer treatment,Cardio Oncology,2022,80
General Diagnosis and management of acute pericarditis in patients with cancer based on the 2015 ESC Guidelines for the diagnosis and management of pericardial diseases is recommended and a multidisciplinary discussion is needed before interrupting cancer therapy.,I,C,38,Recommendations for the management of pericardial diseases in patients receiving anticancer treatment,Cardio Oncology,2022,81
A surgical pericardial window should be considered if the percutaneous approach is not feasible or in cases of recurrent malignant pericardial effusions.,IIa,C,38,Recommendations for the management of pericardial diseases in patients receiving anticancer treatment,Cardio Oncology,2022,81
Intrapericardial instillation of cytostatic or sclerosing agents may be considered for prevention of recurrence.,IIb,C,38,Recommendations for the management of pericardial diseases in patients receiving anticancer treatment,Cardio Oncology,2022,81
"Diagnosis and management of ICI-associated pericarditis Multimodality CV imaging (echocardiography, CMR + CT), ECG and measurement of cardiac biomarkers are recommended to conﬁrm the diagnosis, assess the haemodynamic consequences of pericardial disease, and rule out associated myocarditis.",I,C,38,Recommendations for the management of pericardial diseases in patients receiving anticancer treatment,Cardio Oncology,2022,81
Prednisolone and colchicine are recommended for patients with ICI-associated pericarditis.,I,C,38,Recommendations for the management of pericardial diseases in patients receiving anticancer treatment,Cardio Oncology,2022,81
Interruption of ICI treatment in patients with conﬁrmed ICI-associated pericarditis with moderate-to-severe pericardial effusion is recommended.,I,C,38,Recommendations for the management of pericardial diseases in patients receiving anticancer treatment,Cardio Oncology,2022,81
A multidisciplinary discussion is recommended before restarting ICI treatment.,I,C,38,Recommendations for the management of pericardial diseases in patients receiving anticancer treatment,Cardio Oncology,2022,81
Educating and supporting patients with cancer to make appropriate healthy lifestyle choices is recommended.c,I,C,39,Recommendations for end-of-cancer therapy cardiovascular risk assessment,Cardio Oncology,2022,84
Education is recommended for patients with cancer regarding recognition for early signs and symptoms of CVD.,I,C,39,Recommendations for end-of-cancer therapy cardiovascular risk assessment,Cardio Oncology,2022,84
"CVRF assessment is recommended during the ﬁrst year after cancer therapyc,12,22,31,632,643 and thereafter according to the 2021 ESC Guidelines on CVD prevention in clinical practice.",I,B,39,Recommendations for end-of-cancer therapy cardiovascular risk assessment,Cardio Oncology,2022,84
"In asymptomatic high-risk patients,d echocardiography and cardiac serum biomarkers are recommended at 3 and 12 months after completion of cancer therapy.",I,B,39,Recommendations for end-of-cancer therapy cardiovascular risk assessment,Cardio Oncology,2022,84
"In asymptomatic moderate-risk patients,e echocardiography and cardiac serum biomarkers should be considered within 12 months after completion of cancer therapy.",IIa,B,39,Recommendations for end-of-cancer therapy cardiovascular risk assessment,Cardio Oncology,2022,84
"In asymptomatic low-risk patients,e echocardiography and cardiac serum biomarkers may be considered within 12 months after completion of cancer therapy.",IIb,C,39,Recommendations for end-of-cancer therapy cardiovascular risk assessment,Cardio Oncology,2022,84
Cardiology referralf is recommended in patients with cancer with new cardiac symptoms or new asymptomatic abnormalities in echocardiography and/or cardiac serum biomarkers at the end of therapy assessment.,I,C,39,Recommendations for end-of-cancer therapy cardiovascular risk assessment,Cardio Oncology,2022,84
"In selected patients with exercise intolerance persisting at 12 months after cancer treatment and with normal resting echocardiogram and cardiac biomarkers, exercise stress echocardiography and/or CPET may be considered.",IIb,C,39,Recommendations for end-of-cancer therapy cardiovascular risk assessment,Cardio Oncology,2022,84
Targeted cardiac rehabilitation should be considered in CS with high CV risk.638–,IIa,B,39,Recommendations for end-of-cancer therapy cardiovascular risk assessment,Cardio Oncology,2022,84
Long-term continuation of cardiac medication is recommended in patients who develop severe CTRCD during cancer therapy.,I,C,39,Recommendations for end-of-cancer therapy cardiovascular risk assessment,Cardio Oncology,2022,84
CV follow-up and treatment optimization is recommended in patients who developed TKI-mediated hypertension during cancer therapy.,I,C,39,Recommendations for end-of-cancer therapy cardiovascular risk assessment,Cardio Oncology,2022,84
CV follow-up and treatment optimization is recommended in patients who developed vascular toxicities during cancer therapy.,I,C,39,Recommendations for end-of-cancer therapy cardiovascular risk assessment,Cardio Oncology,2022,84
"Education of adults who are childhood and adolescent CS treated with anthracyclines, mitoxantrone, and/or RT to a volume including the heart and their healthcare providers regarding their increased CV risk is recommended.655–",I,B,40,Recommendations for cardiovascular surveillance in asymptomatic adults who are childhood and adolescent cancer survivors,Cardio Oncology,2022,85
"Annual screening for modiﬁable CVRFc is recommended in adults who are childhood and adolescent CS treated with anthracyclines, mitoxantrone, and/or RT to a volume including the heart.",I,C,40,Recommendations for cardiovascular surveillance in asymptomatic adults who are childhood and adolescent cancer survivors,Cardio Oncology,2022,85
CV assessmentd is recommended in female childhood and adolescent CS prior to pregnancy or in the ﬁrst trimester.,I,C,40,Recommendations for cardiovascular surveillance in asymptomatic adults who are childhood and adolescent cancer survivors,Cardio Oncology,2022,85
Echocardiography surveillance should be considered every 2 years in adults who are high-risk childhood and adolescente CS.,IIa,B,40,Recommendations for cardiovascular surveillance in asymptomatic adults who are childhood and adolescent cancer survivors,Cardio Oncology,2022,85
Echocardiography surveillance should be considered every 5 years in adults who are moderate-risk childhood and adolescente CS.,IIa,B,40,Recommendations for cardiovascular surveillance in asymptomatic adults who are childhood and adolescent cancer survivors,Cardio Oncology,2022,85
"Annual CV risk assessment,c including ECG and NP, and CVRF management is recommended in CS who were treated with a potentially cardiotoxic cancer drug or RT.d,631–",I,B,41,Recommendations for cardiovascular surveillance in asymptomatic adult cancer survivors,Cardio Oncology,2022,86
CV toxicity risk restratiﬁcatione is recommended 5 years after therapy to organize long-term follow-up.,I,C,41,Recommendations for cardiovascular surveillance in asymptomatic adult cancer survivors,Cardio Oncology,2022,86
"Echocardiography at years 1, 3, and 5 after completion of cardiotoxic cancer therapy and every 5 years thereafter should be considered in asymptomatic very high- and early high-risk adult CS.f",IIa,C,41,Recommendations for cardiovascular surveillance in asymptomatic adult cancer survivors,Cardio Oncology,2022,86
Echocardiography should be considered in asymptomatic late high-risk adult CSf starting at 5 years after radiation to a volume including the heart and then every 5 years.,IIa,C,41,Recommendations for cardiovascular surveillance in asymptomatic adult cancer survivors,Cardio Oncology,2022,86
Echocardiography may be considered every 5 years in asymptomatic moderate-risk adult CS.f,IIb,C,41,Recommendations for cardiovascular surveillance in asymptomatic adult cancer survivors,Cardio Oncology,2022,86
"Non-invasive screening for CADg should be considered every 5–10 years in asymptomatic patients who received .15 Gy MHD,d starting at 5 years after radiation.",IIa,C,41,Recommendations for cardiovascular surveillance in asymptomatic adult cancer survivors,Cardio Oncology,2022,86
"Carotid ultrasound imaging should be considered every 5 years in asymptomatic patients with a history of head/neck RT, starting at 5 years after radiation and every 5–10 years thereafter.",IIa,C,41,Recommendations for cardiovascular surveillance in asymptomatic adult cancer survivors,Cardio Oncology,2022,86
"ACE-I/ARB and/or beta-blockers are recommended in adult CS with moderate asymptomatic CTRCD.c,208,425,675–",I,C,42,Recommendations for adult cancer survivors who develop cancer therapy-related cardiac dysfunction late after cardiotoxic cancer therapy,Cardio Oncology,2022,88
ACE-I/ARB and/or beta-blockers may be considered in adult CS with mild asymptomatic CTRCD.d,IIb,C,42,Recommendations for adult cancer survivors who develop cancer therapy-related cardiac dysfunction late after cardiotoxic cancer therapy,Cardio Oncology,2022,88
Asymptomatic radiation-induced CAD detected during surveillance Non-invasive stress testingc is recommended in asymptomatic CS with new moderate or severe radiation-induced CAD detected on CCTA to guide ischaemia-directed management.,I,C,43,Recommendations for adult cancer survivors with coronary artery disease,Cardio Oncology,2022,88
A MDT discussion is recommended for clinical decision-making in patients with radiation-induced CAD and inducible ischaemia or severe left main CAD.,I,C,43,Recommendations for adult cancer survivors with coronary artery disease,Cardio Oncology,2022,88
"Symptomatic CAD Pre-operative assessment of LIMA and RIMA viability, venous access, and sternal wound healing is recommended in CS with radiation-induced CAD where CABG is considered.",I,C,43,Recommendations for adult cancer survivors with coronary artery disease,Cardio Oncology,2022,88
A MDT approach is recommended to discuss and deﬁne the surgical riskc in CS with severe VHD.,I,C,44,Recommendations for adult cancer survivors with valvular heart disease,Cardio Oncology,2022,89
"Recommendation Patients with acute pericarditis during RT to a volume including the heart are at higher risk of developing chronic constrictive pericarditis, hence echocardiography surveillance every 5 years may be considered.",IIb,C,45,Recommendation for adult cancer survivors with pericardial complications,Cardio Oncology,2022,90
"In high-risk female CS, pre-pregnancy counselling and management during pregnancy and around delivery by a multidisciplinary pregnancy heart team is recommended.",I,C,46,Recommendations for cardiovascular monitoring in cancer survivors during pregnancy,Cardio Oncology,2022,91
"A baseline CV evaluation including history, physical examination, ECG, NP, and echocardiography is recommended in female CS with a history of CTRCD who are considering pregnancy.",I,C,46,Recommendations for cardiovascular monitoring in cancer survivors during pregnancy,Cardio Oncology,2022,91
"A baseline CV evaluation including history, physical examination, ECG, and echocardiography should be considered in all female CS who received potentially cardiotoxic cancer therapy and are considering pregnancy.",IIa,C,46,Recommendations for cardiovascular monitoring in cancer survivors during pregnancy,Cardio Oncology,2022,91
A CV evaluation including echocardiography is recommended at 12 weeks of pregnancy in female CS who are either high-risk or who received potentially cardiotoxic cancer therapy and did not have a baseline CV assessment.,I,C,46,Recommendations for cardiovascular monitoring in cancer survivors during pregnancy,Cardio Oncology,2022,91
A second CV evaluation including echocardiography should be considered at 20 weeks of pregnancy in high-risk female CSc who received potentially cardiotoxic cancer therapy.,IIa,C,46,Recommendations for cardiovascular monitoring in cancer survivors during pregnancy,Cardio Oncology,2022,91
Management by an expert MDT (the pregnancy heart team) in an expert centre is recommended for pregnant women with cancer who require cardiotoxic cancer therapy.,I,C,47,Recommendations for cardiovascular assessment and monitoring of pregnant women with cancer,Cardio Oncology,2022,95
"Cardiac assessment prior to cardiotoxic cancer therapy in pregnant women is recommended and consists of clinical history, physical examination, ECG, and echocardiography.",I,C,47,Recommendations for cardiovascular assessment and monitoring of pregnant women with cancer,Cardio Oncology,2022,95
"Monthly or bimonthly CV evaluation, including TTE, should be considered during cardiotoxic cancer therapyc in pregnant women with cancer.",IIa,C,47,Recommendations for cardiovascular assessment and monitoring of pregnant women with cancer,Cardio Oncology,2022,95
cTn may be considered at baseline and during anthracycline chemotherapy in pregnant women with cancer.,IIb,C,47,Recommendations for cardiovascular assessment and monitoring of pregnant women with cancer,Cardio Oncology,2022,95
"Echocardiographyc is recommended for the detection of carcinoid cardiac involvement in all patients with carcinoid syndrome and elevated NP levels and/or clinical signs of carcinoid heart disease, and for surveillance every 3 or 6 months depending on the severity of cardiac involvement and clinical status.",I,B,48,Recommendations for carcinoid valvular heart diseases,Cardio Oncology,2022,95
NP should be considered for screening and surveillance of carcinoid heart disease every 6 months.777–,IIa,B,48,Recommendations for carcinoid valvular heart diseases,Cardio Oncology,2022,95
A MDT discussion for optimal medial management to prevent carcinoid crisis is recommended before any invasive or surgical cardiac procedure.,I,C,48,Recommendations for carcinoid valvular heart diseases,Cardio Oncology,2022,95
Valve replacement surgery is recommended in symptomatic patients with severe carcinoid tricuspid or pulmonary VHD and an expected survival ≥12 months.d,I,C,48,Recommendations for carcinoid valvular heart diseases,Cardio Oncology,2022,95
"Valve replacement surgery should be considered in patients with asymptomatic severe carcinoid tricuspid or pulmonary VHD, progressive RV dysfunction/dilatation, and an expected survival ≥12 months.d",IIa,C,48,Recommendations for carcinoid valvular heart diseases,Cardio Oncology,2022,95
"Echocardiography, NP, and cTn are recommended for the diagnosis of AL-CA in patients with plasma cell dyscrasia.290,820–",I,B,49,Recommendations for amyloid light-chain cardiac amyloidosis diagnosis and monitoring,Cardio Oncology,2022,98
CMR is recommended in patients with suspected AL-CA.,I,A,49,Recommendations for amyloid light-chain cardiac amyloidosis diagnosis and monitoring,Cardio Oncology,2022,98
EMB should be considered in patients with suspected AL-CA involvement if CMR is not diagnostic.,IIa,C,49,Recommendations for amyloid light-chain cardiac amyloidosis diagnosis and monitoring,Cardio Oncology,2022,98
Admission with inpatient ECG monitoring should be considered for high-risk patients with AL-CA requiring PI during their ﬁrst cycle of therapy.c,IIa,C,49,Recommendations for amyloid light-chain cardiac amyloidosis diagnosis and monitoring,Cardio Oncology,2022,98
"Risk stratiﬁcation including planned radiation type and energy, dose to CIED, the patient’s device type, and pacing dependence is recommended prior to starting treatment.",I,C,50,Recommendations for riskstratiﬁcationandmonitoringforpatientswithcardiac implantable electronic devices undergoing radiotherapy,Cardio Oncology,2022,102
"In patients undergoing RT, a CIED check is recommended in all patients before and after completing RT, and during RT according to individual risk.",I,C,50,Recommendations for riskstratiﬁcationandmonitoringforpatientswithcardiac implantable electronic devices undergoing radiotherapy,Cardio Oncology,2022,102
"In patients with a CIED undergoing RT at high risk of arrhythmia and/or device dysfunction, ECG monitoring and/or pulse oximetry are recommended during every RT session.",I,C,50,Recommendations for riskstratiﬁcationandmonitoringforpatientswithcardiac implantable electronic devices undergoing radiotherapy,Cardio Oncology,2022,102
"Endovascular or video-assisted procedures should be considered for patients with high CV risk undergoing vascular or pulmonary surgery.21,35–",IIa,B,1,Recommendations for selection of surgical approach and impact on risk,Non Cardiac Surgery,2022,18
"In all patients scheduled for NCS, an accurate history and clinical examination are recommended.",I,C,2,Recommendations for all patients scheduled for non-cardiac surgery,Non Cardiac Surgery,2022,20
"It is recommended to perform a pre-operative risk assessment, ideally at the same time as the NCS is proposed.46–",I,B,2,Recommendations for all patients scheduled for non-cardiac surgery,Non Cardiac Surgery,2022,20
"If time allows, it is recommended to optimize guideline-recommended treatment of CVD and CV risk factors before NCS.",I,C,2,Recommendations for all patients scheduled for non-cardiac surgery,Non Cardiac Surgery,2022,20
"In patients with a family history of genetic cardiomyopathy, it is recommended to perform an ECG and TTE before NCS, regardless of age and symptoms.",I,C,3,"Recommendations for patients aged ,65 years without signs, symptoms, or history of cardiovascular disease",Non Cardiac Surgery,2022,20
"In patients aged 45–65 years without signs, symptoms, or history of CVD, ECG and biomarkers should be considered before high-risk NCS.",IIa,C,3,"Recommendations for patients aged ,65 years without signs, symptoms, or history of cardiovascular disease",Non Cardiac Surgery,2022,20
"Newly detected murmur In patients with a newly detected murmur and symptoms or signs of CVD, TTE is recommended before NCS.",I,C,4,"Recommendations for pre-operative assessment in patients with previously unknown murmur, angina, dyspnoea, or peripheral oedema",Non Cardiac Surgery,2022,20
"In patients with a newly detected murmur, but without other signs or symptoms of CVD, TTE should be considered before moderate-risk NCS.",IIa,C,4,"Recommendations for pre-operative assessment in patients with previously unknown murmur, angina, dyspnoea, or peripheral oedema",Non Cardiac Surgery,2022,21
"Previously unknown angina If a patient scheduled for elective NCS has chest pain or other symptoms suggestive of undetected CAD, further diagnostic work-up before NCS is recommended.",I,C,4,"Recommendations for pre-operative assessment in patients with previously unknown murmur, angina, dyspnoea, or peripheral oedema",Non Cardiac Surgery,2022,21
"If a patient in need of acute NCS also has chest pain or other symptoms suggestive of undetected CAD, a multidisciplinary assessment approach is recommended to choose the treatment with lowest total risk for the patient.",I,C,4,"Recommendations for pre-operative assessment in patients with previously unknown murmur, angina, dyspnoea, or peripheral oedema",Non Cardiac Surgery,2022,21
"Dyspnoea and/or peripheral oedema In patients with dyspnoea and/or peripheral oedema, an ECG and an NT-proBNP/BNP test is indicated before NCS, unless there is a certain non-cardiac explanation.",I,C,4,"Recommendations for pre-operative assessment in patients with previously unknown murmur, angina, dyspnoea, or peripheral oedema",Non Cardiac Surgery,2022,21
"In patients with dyspnoea and/or peripheral oedema and elevated NT-proBNP/BNP, TTE is recommended before NCS.c",I,C,4,"Recommendations for pre-operative assessment in patients with previously unknown murmur, angina, dyspnoea, or peripheral oedema",Non Cardiac Surgery,2022,21
"It is recommended to give patients individualized instructions for pre-operative and post-operative changes in medication, in verbal and written formats with clear and concise directions.",I,C,5,Recommendations for patient information,Non Cardiac Surgery,2022,22
It should be considered to set up a structured information list (e.g. a check list to help with common issues) for patients with CVD or at high risk of CV complications scheduled for NCS.,IIa,C,5,Recommendations for patient information,Non Cardiac Surgery,2022,22
"In patients aged ≥70 years and scheduled to undergo intermediate- or high-risk NCS, frailty screening should be considered using a validated screening tool.84–",IIa,B,6,Recommendations for pre-operative assessment of frailty and functional capacity,Non Cardiac Surgery,2022,24
"In patients who have known CVD or CV risk factors (including age ≥65 years), or symptoms or signs suggestive of CVD it is recommended to obtain a pre-operative 12-lead ECG before intermediate- and high-risk NCS.97–",I,C,7,Recommendations for pre-operative risk assessment—electrocardiography and biomarkers,Non Cardiac Surgery,2022,26
"In patients who have known CVD, CV risk factors (including age ≥65 years), or symptoms suggestive of CVD it is recommended to measure hs-cTn T or hs-cTn I before intermediate- and high-risk NCS, and at 24 h and 48 h afterwards.53,105–107,109–",I,B,7,Recommendations for pre-operative risk assessment—electrocardiography and biomarkers,Non Cardiac Surgery,2022,26
"In low-risk patients undergoing low- and intermediate-risk NCS, it is not recommended to routinely obtain pre-operative ECG, hs-cTn T/I, or BNP/NT-proBNP concentrations.109,111,117–",III,B,7,Recommendations for pre-operative risk assessment—electrocardiography and biomarkers,Non Cardiac Surgery,2022,26
"TTE is recommended in patients with poor functional capacityc and/or high NT-proBNP/ BNP,d or if murmurs are detected before high-risk NCS, in order to undertake risk-reduction strategies.121,124,127,141–",I,B,8,Recommendations for transthoracic echocardiography,Non Cardiac Surgery,2022,27
TTE should be considered in patients with suspected new CVD or unexplained signs or symptoms before high-risk NCS.,IIa,B,8,Recommendations for transthoracic echocardiography,Non Cardiac Surgery,2022,27
"TTE may be considered in patients with poor functional capacity, abnormal ECG, high NT-proBNP/BNP,d or ≥1 clinical risk factor before intermediate-risk NCS.126–",IIb,B,8,Recommendations for transthoracic echocardiography,Non Cardiac Surgery,2022,27
"To avoid delaying surgery, a FOCUS exam performed by trained specialists may be considered as an alternative to TTE for pre-operative triage.",IIb,B,8,Recommendations for transthoracic echocardiography,Non Cardiac Surgery,2022,27
Routine pre-operative evaluation of LV function is not recommended.,III,C,8,Recommendations for transthoracic echocardiography,Non Cardiac Surgery,2022,27
"Stress imaging is recommended before high-risk elective NCS in patients with poor functional capacityc and high likelihood of CADd or high clinical risk.e,146,156–",I,B,9,Recommendations for stress imaging,Non Cardiac Surgery,2022,28
"Stress imaging should be considered before high-risk NCS in asymptomatic patients with poor functional capacity,d and previous PCI or CABG.",IIa,C,9,Recommendations for stress imaging,Non Cardiac Surgery,2022,28
Stress imaging may be considered before intermediate-risk NCS when ischaemia is of concern in patients with clinical risk factors and poor functional capacity.d,IIb,B,9,Recommendations for stress imaging,Non Cardiac Surgery,2022,28
Stress imaging is not recommended routinely before NCS.,III,C,9,Recommendations for stress imaging,Non Cardiac Surgery,2022,28
It is recommended to use the same indications for ICA and revascularization pre-operatively as in the non-surgical setting.,I,C,10,Recommendations for coronary angiography,Non Cardiac Surgery,2022,28
"CCTA should be considered to rule out CAD in patients with suspected CCS or biomarker-negative NSTE-ACS in case of low-to-intermediate clinical likelihood of CAD, or in patients unsuitable for non-invasive functional testing undergoing non-urgent, intermediate-, and high-risk NCS.",IIa,C,10,Recommendations for coronary angiography,Non Cardiac Surgery,2022,28
Smoking cessation .4 weeks before NCS is recommended to reduce post-operative complications and mortality.,I,B,11,Recommendations for lifestyle and cardiovascular risk factors,Non Cardiac Surgery,2022,29
"Control of CV risk factors—including blood pressure, dyslipidaemia, and diabetes—is recommended before NCS.173,176–",I,B,11,Recommendations for lifestyle and cardiovascular risk factors,Non Cardiac Surgery,2022,29
"Initiation In patients with an indication for statins, it should be considered to initiate statins peri-operatively.",IIa,C,12,Recommendations for pharmacological treatment,Non Cardiac Surgery,2022,31
"Pre-operative initiation of beta-blockers in advancec of high-risk NCS may be considered in patients who have two or more clinical risk factors,d in order to reduce the incidence of peri-operative myocardial infarction.188,190–",IIb,A,12,Recommendations for pharmacological treatment,Non Cardiac Surgery,2022,31
"Pre-operative initiation of beta-blocker in advance of NCS may be considered in patients who have known CAD or myocardial ischaemia.e,230–",IIb,B,12,Recommendations for pharmacological treatment,Non Cardiac Surgery,2022,31
Routine initiation of beta-blocker peri-operatively is not recommended.,III,A,12,Recommendations for pharmacological treatment,Non Cardiac Surgery,2022,31
"Continuation Peri-operative continuation of beta-blockers is recommended in patients currently receiving this medication.190,196–",I,B,12,Recommendations for pharmacological treatment,Non Cardiac Surgery,2022,31
"In patients already on statins, it is recommended to continue statins during the peri-operative period.",I,B,12,Recommendations for pharmacological treatment,Non Cardiac Surgery,2022,31
"In patients with stable HF, peri-operative continuation of RAAS inhibitors may be considered.",IIb,C,12,Recommendations for pharmacological treatment,Non Cardiac Surgery,2022,31
"For patients on diuretics to treat hypertension, transient discontinuation of diuretics on the day of NCS should be considered.",IIa,B,12,Recommendations for pharmacological treatment,Non Cardiac Surgery,2022,32
It should be considered to interrupt SGLT-2 inhibitor therapy for at least 3 days before intermediate- and high-risk NCS.,IIa,C,12,Recommendations for pharmacological treatment,Non Cardiac Surgery,2022,32
It is recommended to delay elective NCS until 6 months after elective PCI and 12 months after an ACS.,I,A,13,Recommendations for use of antiplatelet therapy in patients undergoing noncardiac surgery,Non Cardiac Surgery,2022,37
